locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PROKKA_175661,197.1091863,5.486420617,0.459995933,11.92710678,8.55E-33,3.30E-29
PROKKA_103190,8.088887224,5.542343737,1.170714605,4.734154434,2.20E-06,9.42E-05
PROKKA_103196,10.3071882,5.460433197,0.943267064,5.788851754,7.09E-09,5.47E-07
PROKKA_103197,5.802236181,6.241543772,1.342517987,4.649132325,3.33E-06,0.000136821
PROKKA_103198,11.47281076,4.43253926,0.680997561,6.508891533,7.57E-11,8.08E-09
PROKKA_103199,8.054428914,3.406258236,0.772094998,4.41170872,1.03E-05,0.000369652
PROKKA_175672,21.3774396,-2.215282207,0.433997811,-5.104362624,3.32E-07,1.72E-05
PROKKA_103268,7.216830056,5.23984119,1.169975058,4.478592219,7.51E-06,0.000280767
PROKKA_103269,21.45115052,5.70612824,0.911333254,6.26129708,3.82E-10,3.62E-08
PROKKA_103270,5.968693068,5.429312739,1.256521599,4.320906813,1.55E-05,0.000531707
PROKKA_103273,77.85758328,7.336246983,0.816800193,8.981691046,2.67E-19,1.27E-16
PROKKA_37752,16.40088511,-3.271528562,0.674120062,-4.853035456,1.22E-06,5.50E-05
PROKKA_37755,51.66537926,-2.874048041,0.582579447,-4.933315202,8.08E-07,3.83E-05
PROKKA_103275,47.17063908,2.811303884,0.492455041,5.708752371,1.14E-08,8.38E-07
PROKKA_175732,7.25055712,7.425895316,1.486518891,4.995493406,5.87E-07,2.88E-05
PROKKA_175733,34.86731041,7.094698155,0.809065257,8.769006082,1.80E-18,7.38E-16
PROKKA_175734,9.549784377,7.169530389,1.225840847,5.84866331,4.96E-09,3.93E-07
PROKKA_103314,42.07070019,-3.177695751,0.456177004,-6.965927093,3.26E-12,4.46E-10
PROKKA_103319,15.45593537,-2.202199436,0.473900885,-4.646962067,3.37E-06,0.000138084
PROKKA_175744,13.11205137,-2.339127476,0.495763907,-4.718228668,2.38E-06,0.000101009
PROKKA_175779,8.771544679,4.786142479,0.922784438,5.186631114,2.14E-07,1.16E-05
PROKKA_103454,7.417873115,4.680359188,1.069660774,4.375554664,1.21E-05,0.000427734
PROKKA_103455,9.541699204,4.461278046,0.961952599,4.637731685,3.52E-06,0.000143577
PROKKA_103456,7.51129779,5.431801737,1.061235815,5.118373936,3.08E-07,1.61E-05
PROKKA_103457,16.69869162,7.059418025,1.346486942,5.2428418,1.58E-07,8.83E-06
PROKKA_103491,103.6796582,2.228894204,0.471507551,4.72716545,2.28E-06,9.72E-05
PROKKA_175859,14.66737309,-2.181175108,0.521109458,-4.185637153,2.84E-05,0.000895873
PROKKA_175862,10.34197343,6.307399485,1.079559413,5.842568191,5.14E-09,4.06E-07
PROKKA_175909,5.742433322,6.112474217,1.386355184,4.409024676,1.04E-05,0.000373535
PROKKA_175910,9.098131995,4.971638126,1.135994036,4.37646499,1.21E-05,0.000426449
PROKKA_103651,29.51195904,2.575773611,0.608140524,4.235490827,2.28E-05,0.000745872
PROKKA_175950,50.8059142,4.597101459,0.613632529,7.491619564,6.80E-14,1.20E-11
PROKKA_175951,15.99222571,2.843670616,0.618116933,4.600538285,4.21E-06,0.000168584
PROKKA_176015,6.937787199,5.852071657,1.146353606,5.104944604,3.31E-07,1.72E-05
PROKKA_103801,7.753086443,6.29868984,1.051982644,5.987446536,2.13E-09,1.79E-07
PROKKA_176117,29.24232965,6.737140955,0.923162295,7.297894412,2.92E-13,4.71E-11
PROKKA_104023,10.21801133,7.563843008,1.452347466,5.208011985,1.91E-07,1.04E-05
PROKKA_104024,99.65825004,6.420381937,0.716264568,8.963701716,3.14E-19,1.46E-16
PROKKA_104025,77.51936657,7.291684353,0.838444735,8.696678561,3.42E-18,1.33E-15
PROKKA_104026,76.94924051,7.547220872,0.814680615,9.26402413,1.97E-20,1.16E-17
PROKKA_104027,12.25714334,6.124252082,1.196525567,5.11836291,3.08E-07,1.61E-05
PROKKA_104030,16.22761329,5.29661324,0.982229192,5.392441279,6.95E-08,4.25E-06
PROKKA_104031,9.658949972,6.893906646,1.239467977,5.561988508,2.67E-08,1.78E-06
PROKKA_104032,17.19122803,5.733301243,0.908735739,6.309096249,2.81E-10,2.73E-08
PROKKA_176186,13.28195231,2.878993095,0.662241342,4.347347277,1.38E-05,0.000478577
PROKKA_104129,42.24895363,2.583253978,0.581930915,4.439107652,9.03E-06,0.000331526
PROKKA_104159,15.53788453,5.552929295,0.905920192,6.129600979,8.81E-10,7.90E-08
PROKKA_104160,118.959967,6.269186879,0.617706677,10.14913244,3.34E-24,3.82E-21
